"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3143443","Justus  Bogner and Stefan  Wagner and Alfred  Zimmermann","","","","Automatically Measuring the Maintainability of Service- and Microservice-based Systems: A Literature Review","107--115","","9","SOA, maintainability, metrics, microservices, service-based systems","10.1145/3143434.3143443","","","","","","","2017","","Proceedings of the 27th International Workshop on Software Measurement and 12th International Conference on Software Process and Product Measurement","IWSM Mensura '17","","978-1-4503-4853-9","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3129816","Justus  Bogner and Stefan  Wagner and Alfred  Zimmermann","","","","Towards a Practical Maintainability Quality Model for Service-and Microservice-based Systems","195--198","","4","SOA, maintainability, metrics, microservices, quality model, service-based systems","10.1145/3129790.3129816","","","","","","","2017","","Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings","ECSA '17","","978-1-4503-5217-8","Canterbury, United Kingdom","ACM","New York, NY, USA"
"article","3194166","Justus  Bogner and Jonas  Fritzsch and Stefan  Wagner and Alfred  Zimmermann","","","","Limiting Technical Debt with Maintainability Assurance: An Industry Survey on Used Techniques and Differences with Service- and Microservice-based Systems","125--133","","9","industry, maintainability, microservice-based systems, service-based systems, software quality control, survey","10.1145/3194164.3194166","","","","","","","2018","","Proceedings of the 2018 International Conference on Technical Debt","TechDebt '18","","978-1-4503-5713-5","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3106224","Leonardo P. Tizzei and Marcelo  Nery and Vin&#237;cius C. V. B. Segura and Renato F. G. Cerqueira","","","","Using Microservices and Software Product Line Engineering to Support Reuse of Evolving Multi-tenant SaaS","205--214","","10","Microservices, Multi-tenancy, Service-oriented Architectures, Software Evolution, Software Reuse","10.1145/3106195.3106224","","","","","","","2017","","Proceedings of the 21st International Systems and Software Product Line Conference - Volume A","SPLC '17","","978-1-4503-5221-5","Sevilla, Spain","ACM","New York, NY, USA"
"article","2507304","Jayeeta  Chanda and Sabnam  Sengupta and Ananya  Kanjilal and Swapan  Bhattacharya","","","","Behavioral and Structural Evolution of SOA from OO: An Integrated Approach","1--9","","9","evolution, formalization, service oriented architecture","10.1145/2507288.2507304","SIGSOFT Softw. Eng. Notes","September 2013","38","5","","August","2013","0163-5948","","","","","","ACM","New York, NY, USA"
"article","2232081","Ying  Liu and Walter  Cazzola and Bin  Zhang","","","","Towards a Colored Reflective Petri-net Approach to Model Self-evolving Service-oriented Architectures","1858--1865","","8","adaptive SOA, reflection, reflective Petri nets, service composition, software evolution, web service","10.1145/2245276.2232081","","","","","","","2012","","Proceedings of the 27th Annual ACM Symposium on Applied Computing","SAC '12","","978-1-4503-0857-1","Trento, Italy","ACM","New York, NY, USA"
"article","2245373","Christian  Inzinger and Benjamin  Satzger and Waldemar  Hummer and Philipp  Leitner and Schahram  Dustdar","","","","Non-intrusive Policy Optimization for Dependable and Adaptive Service-oriented Systems","504--510","","7","SOA, adaptation, autonomic management, dependability","10.1145/2245276.2245373","","","","","","","2012","","Proceedings of the 27th Annual ACM Symposium on Applied Computing","SAC '12","","978-1-4503-0857-1","Trento, Italy","ACM","New York, NY, USA"
"article","2819243","M. Ali Babar and Hye-young  Paik and Malolan  Chetlur and Michael  Bauer and Amir Molzam Sharifloo","","","","7th International Workshop on Principles of Engineering Service-oriented and Cloud Systems (PESOS 2015)","987--988","","2","SOA, cloud computing, cloud services, collaborative services, service-oriented architecture, service-oriented systems, software engineering, software services","","","","","","","","2015","","Proceedings of the 37th International Conference on Software Engineering - Volume 2","ICSE '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1370917","Kostas  Kontogiannis and Grace A. Lewis and Dennis B. Smith","","","","A Research Agenda for Service-oriented Architecture","1--6","","6","SOA, SOA research, service orientation, service-oriented architecture, service-oriented systems, systems interoperability","10.1145/1370916.1370917","","","","","","","2008","","Proceedings of the 2Nd International Workshop on Systems Development in SOA Environments","SDSOA '08","","978-1-60558-029-6","Leipzig, Germany","ACM","New York, NY, USA"
"article","2820503","Kai  Niklas and Joel  Greenyer and Kurt  Schneider","","","","Towards Application and Evolution of Model-based Heuristics for Improving SOA Service Design","60--65","","6","experience, heuristics, modeling, service oriented architecture (SOA), static analysis","","","","","","","","2015","","Proceedings of the Seventh International Workshop on Modeling in Software Engineering","MiSE '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
