Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Service-Oriented Dynamic Evolution Model,Z. Mingyan; W. Yanzhang; C. Xiaodong; X. Kai,NA; NA; NA; NA,2008 International Symposium on Computational Intelligence and Design,,2008,1,,322,326,"To make software system adapt the change of user's demand, the environmental variation in running period and to make the software system better satisfy user's application request, a service-oriented dynamic evolution model named SOEM model is proposed in this article. Firstly, based on analyses existing evolution method, introduce the SOA to software evolution. Then give the formal description of a series of concept in service-oriented software evolution process. Define the ruler of service-oriented evolution and the process that based on this evolution ruler. Finally apply SOEM model in a process management system and it has proved that this model has the good ability of evolution.",,978-0-7695-3311,10.1109/ISCID.2008.147,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725618,SOA;Software Dynamic Evolution;Service-Oriented Evolution,Object oriented modeling;Service oriented architecture;Software systems;Software maintenance;Application software;Software architecture;Computer architecture;Logic;Reflection;Runtime,software architecture;software maintenance,service-oriented dynamic evolution;software system;SOEM model;SOA;service-oriented software evolution process;process management system,,,8,,,,,,IEEE,IEEE Conferences
A Graph Transformation based Approach for Runtime Constrained Evolution of Service-Oriented Architectures,Y. Zhao; D. Ma; M. Liu; C. Hu; Y. Huang,NA; NA; NA; NA; NA,"2009 17th Euromicro International Conference on Parallel, Distributed and Network-based Processing",,2009,,,203,209,"Service Oriented Architecture (SOA) is a new form of distributed software architecture. SOA promotes loose coupling, services distribution, dynamicity and agility. Services involved in an SOA are remote and autonomous services, the SOA designer can not control them and unpredictable behavior can occur. This makes the SO different from other architectures for its special architecture elements and its dynamic and evolving structure. How to model this specific architecture and support service-oriented development is unimportant research field in service-oriented software engineering community. This paper proposed a graph transformation based approach to model SOA and its evolution at runtime. Graph grammar is used tore present the architectural style, type and structural constraints are introduced to improve the robustness and adaptability when reconfiguring the architectures at runtime.",1066-6192;2377-5750,978-0-7695-3544,10.1109/PDP.2009.9,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4912935,,Runtime;Service oriented architecture;Computer architecture;Web services;Production;Computer science;Software architecture;Software engineering;Robustness;Distributed computing,distributed processing;graph theory;software architecture;software maintenance,graph transformation;runtime constrained evolution;service-oriented architecture;distributed software architecture;software engineering,,1,22,,,,,,IEEE,IEEE Conferences
A Testbed for Evaluating Anomaly Detection Monitors through Fault Injection,A. Ceccarelli; T. Zoppi; A. Bondavalli; F. Duchi; G. Vella,NA; NA; NA; NA; NA,2014 IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing,,2014,,,358,365,"Amongst the features of Service Oriented Architectures (SOAs), their flexibility, dynamicity, and scalability make them particularly attractive for adoption in the ICT infrastructure of organizations. Such features come at the cost of improved difficulty in monitoring the SOA for error detection: i) faults may manifest themselves differently due to services and SOA evolution, and ii) interactions between a service and its monitors may need reconfiguration at each service update. This calls for monitoring solutions that operate at different layers than the application layer (services layer). In this paper we present our ongoing work towards the definition of a monitoring framework for SOAs and services, which relies on anomaly detection performed at the Application Server (AS) and the Operating System (OS) layers to identify events whose manifestation or effect is not adequately described a-priori. Specifically the paper introduces the key concepts of our work and presents the case study built to exercise and set-up our monitor. The case study uses Life ray as application layer and it includes fault injection and data collection instruments to perform extended testing campaigns.",1555-0885;2375-5261,978-1-4799-4430,10.1109/ISORC.2014.31,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6899171,monitoring;SOA;anomaly detection;application server;testing;fault injection,Monitoring;Probes;Servers;Generators;Service-oriented architecture;Kernel,fault tolerant computing;operating systems (computers);service-oriented architecture,anomaly detection monitors;fault injection;service oriented architectures;SOA;ICT infrastructure;information and communication technology;error detection;application server;operating system;AS layer;OS layer,,3,24,,,,,,IEEE,IEEE Conferences
Hierarchical iterative modeling approach for agile SOA,F. Ni; R. Li,"Business School, University of Shanghai for Science and Technology, Shanghai, China; Business School, University of Shanghai for Science and Technology, Shanghai, China","2017 IEEE 2nd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)",,2017,,,1778,1782,"Motivated by the 2 objectives as agile evolution and business &amp; IT alignment for agile enterprise architecture development in the pattern of Service Oriented Architecture (SOA), a hierarchical iterative modeling approach based on The Open Group Architecture Framework (TOGAF) is proposed to bridge the gap between strategy and implementation. For inner iterations, a 3-dimensional iterative modeling matrix is designed as the mechanism for alignment of architecture models in three aspects: requirement, semantics and granularity. For outer iterations, a closed-loop iterative evolution is defined to ensure that periodical update can be agilely implemented and consists with the architecture vision.",,978-1-5090-6414-4978-1-5090-6412-0978-1-5090-6415,10.1109/ITNEC.2017.8285101,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8285101,enterprise architecture;TOGAF;service oriented architecture;agile iterative development,,iterative methods;service-oriented architecture,hierarchical iterative modeling approach;agile SOA;agile evolution;agile enterprise architecture development;Open Group Architecture Framework;closed-loop iterative evolution;architecture vision;service oriented architecture;TOGAF;three-dimensional iterative modeling matrix,,,22,,,,,,IEEE,IEEE Conferences
Notice of Violation of IEEE Publication Principles<br>Spatial data based on SOA,D. Muracevic; F. Orucevic,"BH Telecom, Zmaj od Bosne 88, 71000 Sarajevo, Bosnia and Hercegovina; ALEM system, Podgaj 16, 71000 Sarajevo, Bosnia and Hercegovina",2008 50th International Symposium ELMAR,,2008,1,,277,280,"Organizations today have application needs that span multiple department, geographies, business units, and heterogeneous hardware and software platforms. In this case study, multiple disparate information systems and heritage data sources were integrated to deliver a flexible business solution using a service-oriented approach. Specifically, standards-based services oriented architecture (SOA)-enabling technologies and design principles were used to integrate geographic information system (GIS) spatial analysis and visualization services, along with other business information systems, in a Web-based, service-oriented business application environment.;Notice of Violation of IEEE Publication Principles<br><br>""Spatial Data Based on SOA""<br> by Fahrudin Orcevic and Muracevic Dzenana<br>in the Proceedings of the 50th International Symposium ELMAR, September 2008, pp. 277-280<br><br> After careful and considered review of the content and authorship of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE's Publication Principles.<br><br>This paper duplicates original text from the papers cited below. The original text was copied with insufficient attribution (including appropriate references to the original author(s) and/or paper title) and without permission.<br><br> ""Developing and Deploying an Integrated Geoenabled SOA Business Solution: A Case Study,"" ESRI White Paper, June 2007<br><br>""Geospatial Service-Oriented Architecture (SOA)"" ESRI White Paper, June 2007<br><br>""Semantic Evolution of Geospatial Web Services"" J. Lieberman, et al, WC3 Workshop on Frameworks for Semantic in Web Services, June 2005<br><br>""Standardized Geoprocessing-Taking Spatial Data Infrastructures one Step Further"" by Christian Kiehle, et al, 9th AGILE Conference on Geographic Information Science, 2006<br><br> ""The Development of a Prototype Goespatial Web Service System for Remote Sensing Data,"" M. Deng, et al, International Society for Photogrammetry and Remote Sensing (ISPRS) 2004 <br><br> ""A Service Driven Approach for Integration of Heterogenous Geospatial Data Repositories"" S.K. Ghosh, et al, Geospatial World, August 2007<br><br>",1334-2630,978-1-4244-3364,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4747489,SOA;web services;spatial data;interoperability,Semiconductor optical amplifiers;Service oriented architecture;ISO standards;Iron;Web services;Geographic Information Systems;Ontologies;Standards development;Standards organizations;Information technology,business data processing;management information systems;Web services,spatial data;SOA;business units;heterogeneous hardware platform;heterogeneous software platform;multiple disparate information systems;heritage data sources;service-oriented approach;standards-based services oriented architecture;geographic information system;business information systems;Web-based business application,,,6,,,,,,IEEE,IEEE Conferences
Cyber-physical microservices: An IoT-based framework for manufacturing systems,K. Thramboulidis; D. C. Vachtsevanou; A. Solanos,"Electrical and Computer Engineering, University of Patras, Patras, Greece; Electrical and Computer Engineering, University of Patras, Patras, Greece; Electrical and Computer Engineering, University of Patras, Patras, Greece",2018 IEEE Industrial Cyber-Physical Systems (ICPS),,2018,,,232,239,"Recent advances in ICT enable the evolution of the manufacturing industry to meet the new requirements of the society. Cyber-physical systems, Internet-of-Things (IoT), and Cloud computing, play a key role in the fourth industrial revolution known as Industry 4.0. The microservice architecture has evolved as an alternative to SOA and promises to address many of the challenges in software development. In this paper, we adopt the concept of microservice and describe a framework for manufacturing systems that has the cyber-physical microservice as the key construct. The manufacturing plant processes are defined as compositions of primitive cyber-physical microservices adopting either the orchestration or the choreography pattern. IoT technologies are used for system integration and model-driven engineering is utilized to semi-automate the development process for the industrial engineer, who is not familiar with microservices and IoT. Two case studies demonstrate the feasibility of the proposed approach.",,978-1-5386-6531-2978-1-5386-6530-5978-1-5386-6532,10.1109/ICPHYS.2018.8387665,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387665,cyber-physical systems;microservices;IoT;service discovery;service composition;UML4IoT;semantic web,Manufacturing systems;Computer architecture;Cyber-physical systems;Industries;Software;Scalability,cloud computing;industrial engineering;Internet of Things;manufacturing industries;manufacturing systems;production engineering computing;service-oriented architecture,cyber-physical microservice;IoT;manufacturing industry;cyber-physical systems;fourth industrial revolution;microservice architecture;manufacturing plant processes;system integration;model-driven engineering;industrial engineer;microservices;manufacturing systems;Internet-of-Things;cloud computing;Industry 4.0;software development;choreography pattern,,1,43,,,,,,IEEE,IEEE Conferences
MDSOA quality evaluation,X. Larrucea,"European Software Institute #204, Corporacion Tecnologica Tecnalia, 48170 Zamudio Bizkaia, Spain",2008 IEEE International Technology Management Conference (ICE),,2008,,,1,6,"Software industry is living in a continuous evolution and revolution of new technologies in order to provide new ways for enabling interoperability among organisations. Such technologies are gaining relevance depending on their added value, and they are under an iterative capabilities improvement process. Model driven development (MDD) and Service Oriented Architectures (SOA) are some of these current trends in software engineering providing capabilities for enabling interoperability among stakeholders. Each approach highlights a set of benefits and they are combined providing a holistic approach of the used technologies. This paper evaluates quality aspects of a MDD and SOA combined approach, defines an ISO9126 evaluation process and outlines a research agenda using these technologies.",,978-0-85358-244,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462113,SOA;MDA;ISO9126,Service-oriented architecture;Unified modeling language;Computer architecture;Interoperability;Business,formal specification;service-oriented architecture;software quality,MDSOA quality evaluation;software industry;model driven development;MDD;service oriented architecture;software engineering;ISO9126 evaluation process,,,12,,,,,,IEEE,IEEE Conferences
Towards Dynamic Evolution of Service Choreographies,W. Song; G. Zhang; Y. Zou; Q. Yang; X. Ma,NA; NA; NA; NA; NA,2012 IEEE Asia-Pacific Services Computing Conference,,2012,,,225,232,"To stay on the cutting edge, Web services ought to adapt themselves to the evolving business requirements and the changing environments. For a long-running service choreography, its member services may need to evolve even at run-time. However, inconsistencies or spurious results (e.g., unspecified receptions and deadlocks) may occur if these services evolve dynamically in an uncoordinated manner. To cope with this problem, we propose an approach that supports the dynamic evolution of choreographies. In our approach, two mechanisms are proposed to make sure that the choreography evolution can be conducted in an orderly fashion. First, an evolution protocol is proposed to support dynamic co-evolution of the member services in a choreography. Second, the proposed approach restricts choreography changes to one single service only if the relevant partner services can evolve simultaneously. A typical purchase order application is used to motivate our proposal and illustrate the viability of our approach.",,978-1-4673-4825,10.1109/APSCC.2012.40,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6478220,dynamic co-evolution;service choreography;instance migration;evolution protocol,Protocols;Business;Service-oriented architecture;Petri nets;Firing;Heuristic algorithms;Complexity theory,order processing;protocols;service-oriented architecture;software maintenance;Web services,service choreographies dynamic evolution;Web services;business requirements;run-time;evolution protocol;dynamic co-evolution;member services;choreography change restriction;partner services;purchase order application;service composition;service-oriented architecture;SOA,,3,23,,,,,,IEEE,IEEE Conferences
Interactive Ontology Evolution Management Using Mutli-agent System: A Proposal for Sustainability of Semantic Interoperability in SOA,S. Slimani; S. Baïna; K. Baïna,NA; NA; NA,2011 IEEE 20th International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises,,2011,,,41,46,"This paper discusses a new approach towards ontology evolution management framework and relates it to the sustainability of semantic interoperability in SOA. Indeed, when the semantic representation of the service evolves, the interpretation of queries may change. Thus, it's often challenging to evaluate the results of the query. Sources of this problem include the lack of support for semantic evolution management in ontology-based service oriented systems, and the static nature of the mappings between ontologies in this environment. To address these issues, we have developed P<sup>2</sup>OManager, an interactive tool for ontology evolution management. This system allows the users to automatically create an ontology agent manager. This agent manages evolution on both ontology and mappings and communicates with other ontology agents to take them aware of all changes which may affect exchanges with their services. Examples illustrate how P<sup>2</sup>OManager can provide valuable support for ontology evolution management, when specific changes are provided.",1524-4547;1524-4547,978-1-4577-0134-4978-0-7695-4410,10.1109/WETICE.2011.15,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5990020,semantic web service;ontology evolution;multi-agent system,Ontologies;Semantics;Service oriented architecture;Receivers;Proposals;Syntactics;OWL,interactive systems;ontologies (artificial intelligence);open systems;service-oriented architecture,interactive ontology evolution management;mutliagent system;semantic interoperability sustainability;SOA;ontology-based service oriented systems;P2OManager,,,12,,,,,,IEEE,IEEE Conferences
Service-Oriented Architecture for Smart Environments (Short Paper),V. Degeler; L. I. L. Gonzalez; M. Leva; P. Shrubsole; S. Bonomi; O. Amft; A. Lazovik,NA; NA; NA; NA; NA; NA; NA,2013 IEEE 6th International Conference on Service-Oriented Computing and Applications,,2013,,,99,104,"The advances of pervasive technology offer new standards for user comfort by adding intelligence to ubiquitous home and office appliances. With intelligence being the core of some newly constructed buildings, it is important to design a scalable, robust, context-aware architecture, which not only has enough longevity and evolving capabilities to sustain itself over the building's lifetime, but also provides enough potential for additional features to be added to the core Building Management Systems (BMS). Such features may include energy preservation system, or activity-recognition techniques. Service-Oriented Architecture (SOA) principles provide great tools that can be applied to the smart buildings design, however certain specifics of pervasive systems should be taken into account, such as high heterogeneity of available devices and capabilities. In this paper we propose an architecture for smart pervasive applications, which is based on SOA principles and is specifically designed for long-term applicability, scalability, and evolution capabilities of a BMS. We validate our proposal by implementing a smart office on the premises of the Technical University of Eindhoven and showing that it complies with the requirements of scalability and robustness, at the same time being a viable BMS.",2163-2871,978-1-4799-2702-9978-1-4799-2701,10.1109/SOCA.2013.26,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6717291,service-oriented architecture;smart environments;building management systems,Buildings;Context;Architecture;Actuators;Computer architecture;Green products;Educational institutions,service-oriented architecture;ubiquitous computing,service-oriented architecture;smart environments;pervasive technology;user comfort;ubiquitous home;office appliances;context aware architecture;core building management systems;BMS;energy preservation system;activity recognition techniques;SOA principles;smart buildings design;pervasive systems;smart pervasive applications;smart office,,6,19,,,,,,IEEE,IEEE Conferences
