Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Evolvability Characterization in the Context of SOA","Advances in Software Engineering","","","","10.1007/978-3-642-17578-7_25","Jose L. Arciniegas H.Juan C. Dueñas L.","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17578-7_25","Chapter"
"Towards a self-adaptive service-oriented methodology based on extended SOMA","Frontiers of Information Technology & Electronic Engineering","","16","1","10.1631/FITEE.1400040","Alireza Parvizi-MosaedShahrouz MoavenJafar HabibiGhazaleh BeigiMahdieh Naser-Shariat","2015","http://rd.springer.com/article/10.1631/FITEE.1400040","Article"
"Service Engineering","Service Research Challenges and Solutions for the Future Internet","","","","10.1007/978-3-642-17599-2_8","Vasilios AndrikopoulosAntonio BucchiaroneElisabetta Di NittoRaman KazhamiakinStephen LaneValentina MazzaIta Richardson","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17599-2_8","Chapter"
"A survey of autonomic computing methods in digital service ecosystems","Service Oriented Computing and Applications","","11","1","10.1007/s11761-016-0203-8","Dhaminda B. AbeywickramaEila Ovaska","2017","http://rd.springer.com/article/10.1007/s11761-016-0203-8","Article"
"Microservice Architecture Within In-House Infrastructures for Enterprise Integration and Measurement: An Experience Report","Innovations for Community Services","","","","10.1007/978-3-319-93408-2_1","Sebastian ApelFlorian HertrampfSteffen Späthe","2018","http://rd.springer.com/chapter/10.1007/978-3-319-93408-2_1","Chapter"
"Real-Time Service-Oriented Architectures: A Data-Centric Implementation for Distributed and Heterogeneous Robotic System","Embedded Systems: Design, Analysis and Verification","","","","10.1007/978-3-642-38853-8_24","Pekka AlhoJouni Mattila","2013","http://rd.springer.com/chapter/10.1007/978-3-642-38853-8_24","Chapter"
"Silverlight and Service-Oriented Architecture","Pro Silverlight for the Enterprise","","","","10.1007/978-1-4302-1868-5_4","","2009","http://rd.springer.com/chapter/10.1007/978-1-4302-1868-5_4","Chapter"
"Service-Oriented Operating System: A Key Element in Improving Service Availability","Service Availability","","","","10.1007/978-3-540-72736-1_4","Nikola MilanovicMiroslaw Malek","2007","http://rd.springer.com/chapter/10.1007/978-3-540-72736-1_4","Chapter"
"KATWARN—A Microservice-Based Architecture for Distributed, Flexible and Robust Warning Systems","Advances and New Trends in Environmental Informatics","","","","10.1007/978-3-319-99654-7_14","Ulrich MeissenStefan PfennigschmidtMarkus HardtDaniel Faust","2018","http://rd.springer.com/chapter/10.1007/978-3-319-99654-7_14","Chapter"
"A survey on quality attributes in service-based systems","Software Quality Journal","","24","2","10.1007/s11219-015-9268-4","David AmellerMatthias GalsterParis AvgeriouXavier Franch","2016","http://rd.springer.com/article/10.1007/s11219-015-9268-4","Article"
"A journey to highly dynamic, self-adaptive service-based applications","Automated Software Engineering","","15","3 - 4","10.1007/s10515-008-0032-x","Elisabetta Di NittoCarlo GhezziAndreas MetzgerMike PapazoglouKlaus Pohl","2008","http://rd.springer.com/article/10.1007/s10515-008-0032-x","Article"
"A Pattern Language for Process Execution and Integration Design in Service-Oriented Architectures","Transactions on Pattern Languages of Programming I","","","","10.1007/978-3-642-10832-7_6","Carsten HentrichUwe Zdun","2009","http://rd.springer.com/chapter/10.1007/978-3-642-10832-7_6","Chapter"
"Service Development Abstraction: A Design Methodology and Development Toolset for Abstractive and Flexible Service-Based Software","Cloud Computing and Services Science","","","","10.1007/978-1-4614-2326-3_9","Per-Olov ÖstbergErik Elmroth","2012","http://rd.springer.com/chapter/10.1007/978-1-4614-2326-3_9","Chapter"
"Detection of SOA Antipatterns","Service-Oriented Computing - ICSOC 2012 Workshops","","","","10.1007/978-3-642-37804-1_43","Francis Palma","2013","http://rd.springer.com/chapter/10.1007/978-3-642-37804-1_43","Chapter"
